town,mortality,calcium,north
Bath,1247,105,0
Birkenhead,1668,17,1
Birmingham,1466,5,0
Blackburn,1800,14,1
Blackpool,1609,18,1
Bolton,1558,10,1
Bootle,1807,15,1
Bournemouth,1299,78,0
Bradford,1637,10,1
Brighton,1359,84,0
Bristol,1392,73,0
Burnley,1755,12,1
Coventry,1307,78,0
Croydon,1254,96,0
Darlington,1491,20,1
Derby,1555,39,1
Doncaster,1428,39,1
East Ham,1318,122,0
Exeter,1260,21,0
Gateshead,1723,44,1
Grimsby,1379,94,1
Halifax,1742,8,1
Huddersfield,1574,9,1
Hull,1569,91,1
Ipswich,1096,138,0
Leeds,1591,16,1
Leicester,1402,37,0
Liverpool,1772,15,1
Manchester,1828,8,1
Middlesbrough,1704,26,1
Newcastle,1702,44,1
Northampton,1309,59,0
Norwich,1259,133,0
Nottingham,1427,27,1
Oldham,1724,6,1
Oxford,1175,107,0
Plymouth,1486,5,0
Portsmouth,1456,90,0
Preston,1696,6,1
Reading,1236,101,0
Rochdale,1711,13,1
Rotherham,1444,14,1
St Helens,1591,49,1
Salford,1987,8,1
Sheffield,1495,14,1
Southampton,1369,68,0
Southend,1257,50,0
Southport,1587,75,1
South Shields,1713,71,1
Stockport,1557,13,1
Stoke,1640,57,1
Sunderland,1709,71,1
Wallasey,1625,20,1
Walsall,1527,60,0
West Bromwich,1627,53,0
West Ham,1486,122,0
Wolverhampton,1485,81,0
York,1378,71,1
Cardiff,1519,21,0
Newport,1581,14,0
Swansea,1625,13,0
